"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.033708337E-3;-1.422042847E-2;6.764433289E-1;9.927505646E0
1.095670834E-2;-8.083190918E-3;6.749464417E-1;9.900861053E0
2.087870834E-2;-1.646575928E-3;6.670129395E-1;9.897268524E0
3.080170834E-2;1.362167358E-2;6.756948853E-1;9.861792297E0
4.072370834E-2;3.427871704E-2;6.795867920E-1;9.810299377E0
5.064670835E-2;2.380050659E-2;6.679110718E-1;9.811646576E0
6.056870834E-2;2.095642090E-2;6.810836792E-1;9.856104126E0
7.049170835E-2;2.215393066E-2;6.725514221E-1;9.898915100E0
8.041370835E-2;2.409988403E-2;6.800358582E-1;9.841434631E0
9.033670835E-2;5.987548828E-2;6.843768311E-1;9.706565094E0
1.002587083E-1;-3.517684937E-2;6.625222778E-1;9.949360199E0
1.101817084E-1;-3.158432007E-2;6.691085815E-1;1.006342300E1
1.201037084E-1;2.335144043E-2;6.818321228E-1;9.851314087E0
1.300267083E-1;7.035369873E-3;6.746470642E-1;9.831255798E0
1.399487084E-1;1.796264648E-2;6.821315002E-1;9.896370392E0
1.498717083E-1;1.212478638E-2;6.758445740E-1;9.896370392E0
1.597937083E-1;9.430389404E-3;6.719526672E-1;9.844278717E0
1.697167083E-1;1.945953369E-3;6.676116943E-1;9.856104126E0
1.796387083E-1;-5.987548828E-3;6.709048462E-1;9.890981598E0
1.895617083E-1;1.496887207E-3;6.740483093E-1;9.887239380E0
1.994837083E-1;4.191284180E-3;6.653663635E-1;9.877359924E0
2.094067083E-1;5.837860107E-3;6.782395935E-1;9.871072998E0
2.193287083E-1;3.293151855E-3;6.679110718E-1;9.882449341E0
2.292517083E-1;2.395019531E-3;6.771917725E-1;9.897867279E0
2.391737083E-1;5.239105225E-3;6.719526672E-1;9.888736267E0
2.490967083E-1;5.388793945E-3;6.626719666E-1;9.855655060E0
2.590187083E-1;8.232879639E-3;6.667135620E-1;9.852511597E0
2.689417083E-1;4.340972900E-3;6.721023560E-1;9.885592804E0
2.788637083E-1;7.484436035E-4;6.713539124E-1;9.883796539E0
2.887867083E-1;4.790039062E-3;6.664141846E-1;9.892179108E0
2.987087083E-1;3.891906738E-3;6.774911499E-1;9.892478485E0
3.086317084E-1;-2.844085693E-3;6.655160522E-1;9.861193542E0
3.185537083E-1;5.388793945E-3;6.664141846E-1;9.847571869E0
3.284767084E-1;6.735992432E-3;6.670129395E-1;9.856104126E0
3.383987084E-1;-4.490661621E-4;6.649172974E-1;9.875264282E0
3.483217083E-1;-1.945953369E-3;6.623725891E-1;9.864486694E0
3.582437084E-1;1.945953369E-3;6.590794373E-1;9.837393036E0
3.681667083E-1;-8.083190918E-3;6.626719666E-1;9.862241364E0
3.780887083E-1;-5.089416504E-3;6.671626282E-1;9.904154205E0
3.880117083E-1;-2.095642090E-3;6.700067139E-1;9.897867279E0
3.979337083E-1;1.496887207E-4;6.695576477E-1;9.891280975E0
4.078557083E-1;1.182540894E-2;6.647676086E-1;9.870623932E0
4.177787083E-1;7.484436035E-3;6.709048462E-1;9.857002258E0
