"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
5.621916673E-3;1.104007289E-2;6.943678856E-2;-6.512361579E-4
1.554391667E-2;8.270476013E-3;8.975577354E-2;-3.759821411E-3
2.546491666E-2;-4.434134811E-3;8.247601986E-2;-2.860471839E-3
3.538591665E-2;-1.199118607E-2;7.078967988E-2;-1.555402298E-3
4.530691667E-2;-2.716798335E-4;7.768460363E-2;-5.154131912E-3
5.522791666E-2;1.391222514E-2;8.845722675E-2;-6.489651278E-3
6.514891665E-2;-2.656365512E-3;7.128889114E-2;-6.856635213E-3
7.506991667E-2;-7.004143670E-3;6.370714307E-2;-3.188190516E-3
8.499191666E-2;-4.605354369E-2;-1.268190611E-2;-1.843826729E-3
9.491291665E-2;-5.732026324E-2;-1.948457770E-2;-2.722514793E-3
1.048339167E-1;-4.872864112E-2;1.682868786E-2;-9.989169193E-4
1.147549167E-1;-6.412782520E-2;-1.449446380E-2;-2.121780766E-3
1.246759167E-1;-5.731199682E-2;5.129812635E-4;-2.404608531E-3
1.345969167E-1;-5.245952308E-2;1.112467027E-3;-2.638556994E-3
1.445179167E-1;-5.312478170E-2;-8.029632270E-3;-4.327001050E-3
1.544399167E-1;-4.427473992E-2;-1.390504302E-3;-2.117058728E-3
1.643609166E-1;-3.491719067E-2;-7.497398648E-3;-1.309321960E-3
1.742819167E-1;-3.088946454E-2;-3.847577609E-3;-1.001350349E-3
1.842029167E-1;-2.924629301E-2;-1.078750938E-2;-3.001384437E-3
1.941239166E-1;-2.780161239E-2;-7.543100044E-3;-1.765158959E-3
2.040449167E-1;-2.917527035E-2;-1.246854314E-3;9.280957747E-4
2.139669167E-1;-3.675173596E-2;-1.399750728E-2;1.545148902E-3
2.238879167E-1;-4.458142817E-2;-9.611015208E-3;1.196008641E-3
2.338089167E-1;-4.791312665E-2;-7.488210686E-3;1.622484298E-3
2.437299167E-1;-4.858930409E-2;-9.081313387E-3;6.355165970E-4
2.536509167E-1;-4.171892628E-2;-7.341085002E-3;2.139124321E-3
2.635719167E-1;-3.028437868E-2;-1.122104470E-2;4.554737825E-4
2.734929167E-1;-1.825114712E-2;-1.700795628E-2;2.014374593E-3
