"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
6.592749996E-3;6.268735947E-2;-3.508365937E-2;1.385509443E-1
1.651474999E-2;3.190655190E-2;4.248345695E-2;9.947809517E-2
2.643674999E-2;-4.962824285E-3;3.806599516E-2;7.978233397E-2
3.635875002E-2;1.259589380E-2;1.241405910E-1;-3.335719585E-2
4.628075002E-2;8.037811956E-2;2.290456332E-1;-1.686489022E-1
5.620275001E-2;1.068742931E-1;2.164224813E-1;-3.506060672E-1
6.612475001E-2;6.808508412E-2;1.672058459E-1;-3.355290216E-1
7.604575000E-2;9.431340490E-2;7.985878631E-2;-1.664105880E-1
8.596775000E-2;7.306194173E-2;-7.917495444E-3;-7.545130134E-2
9.588974999E-2;3.021614926E-2;-3.189492416E-1;1.349677706E-1
1.058117500E-1;1.314325531E-1;1.653064875E-1;1.875640601E-1
1.157337500E-1;1.785060378E-2;4.877191812E-2;2.344575602E-1
1.256557500E-1;-3.501438356E-2;-2.026456007E-1;3.370972449E-1
1.355777500E-1;-5.879701504E-2;-2.561427634E-2;3.084903270E-1
1.454997500E-1;-5.459922583E-2;-7.099360339E-2;3.271183866E-1
1.554217500E-1;9.277754235E-3;-9.497234043E-2;2.364964843E-2
1.653437500E-1;1.829658874E-2;4.765780427E-2;-3.900852978E-2
1.752647500E-1;2.427954887E-2;-3.084917888E-2;-7.964258552E-2
1.851867500E-1;6.312956886E-2;2.360594049E-3;1.980802774E-1
1.951087500E-1;4.384825191E-2;1.604296904E-2;2.622452831E-1
2.050307500E-1;4.236592792E-2;6.145350561E-3;1.192837840E-1
2.149527500E-1;4.470216466E-2;-1.267018542E-4;1.194358116E-1
2.248747500E-1;2.646089835E-2;4.084002391E-2;9.027574718E-2
2.347967500E-1;3.308492802E-2;5.038118150E-2;1.184920710E-1
2.447187500E-1;3.917624437E-2;-9.602955356E-3;1.441818130E-1
2.546407500E-1;3.251668373E-2;-2.163842551E-2;1.032548118E-1
2.645627500E-1;1.539871323E-2;-1.012248047E-2;5.778218508E-2
2.744847500E-1;1.371512625E-2;-3.735519301E-2;3.455587506E-2
2.844057500E-1;4.209834928E-2;1.307930779E-2;4.467799008E-2
2.943277500E-1;4.989140410E-2;3.353169870E-2;6.975494385E-2
3.042490000E-1;4.036475034E-2;-2.353047486E-2;9.320578694E-2
3.141710000E-1;7.660799936E-2;-1.569286700E-2;1.374885052E-1
3.240930000E-1;6.009774643E-2;-1.526262157E-2;5.857331336E-2
3.340150000E-1;4.004586238E-2;-5.487703253E-2;2.859364468E-1
3.439370000E-1;1.546824256E-2;-1.700808853E-4;1.320868474E-1
3.538590000E-1;3.657506481E-3;6.025902908E-2;-1.129038870E-2
3.637810000E-1;1.319873031E-2;5.122124366E-3;7.359539509E-2
3.737020000E-1;4.480531777E-3;5.480193235E-3;6.386913657E-2
3.836240000E-1;4.566850841E-2;-1.091591109E-2;1.093663216E-1
3.935460000E-1;2.913210061E-2;-1.148765914E-2;1.021654755E-1
4.034680000E-1;5.674837908E-2;-4.173048176E-3;9.554642737E-2
4.133900000E-1;4.586820453E-2;-5.210161507E-3;8.427416503E-2
4.233120000E-1;3.674509088E-2;8.304654211E-3;1.008551145E-1
4.332340000E-1;5.162470611E-2;-1.575956181E-2;1.096522504E-1
4.431560000E-1;3.535238689E-2;-3.532960787E-2;1.054416704E-1
4.530780000E-1;4.208442103E-2;1.226011287E-2;1.045148867E-1
4.630000000E-1;4.844571657E-2;-4.374667481E-3;9.611009896E-2
4.729220000E-1;2.634467124E-2;1.605122823E-2;1.058199853E-1
4.828430000E-1;2.457365468E-2;1.332631610E-2;1.218203062E-1
4.927650000E-1;1.600077087E-2;-4.731691159E-2;1.011533225E-1
5.026870000E-1;-2.533028210E-2;-2.762508630E-1;9.522190690E-2
5.126090000E-1;-5.074787136E-1;-2.404769763E0;7.892747104E-2
5.225310000E-1;-6.919173273E-1;-3.827593798E0;3.221687186E-1
5.324530000E-1;-5.983836943E-1;-4.221431547E0;1.275938469E-1
5.423750000E-1;-5.091998415E-1;-4.625494321E0;1.573807329E-1
5.522970000E-1;-5.521877670E-1;-5.682356915E0;3.585682207E-1
5.622190000E-1;-1.097113986E-1;-6.162274157E0;-1.526210994E-1
5.721410000E-1;7.617763516E-1;-2.724131818E0;2.614816368E-2
5.820630000E-1;9.571876674E-1;-3.398819448E-1;8.556990802E-2
5.919840000E-1;7.469774142E-1;-3.424633078E-1;3.001141906E-1
6.019060000E-1;3.645199554E-1;-1.470010626E0;1.118765312E-1
6.118280000E-1;2.369019521E-2;-1.766525271E0;1.510002512E-1
6.217500000E-1;-1.093365830E-1;-1.252883336E0;6.931581795E-2
6.316720000E-1;-3.948112185E-2;-8.468161364E-1;1.944175816E-1
6.415940000E-1;4.750824345E-2;-1.484896907E0;-2.826544046E-3
6.515160000E-1;2.151120289E-1;-1.719235476E0;1.990988624E-1
6.614380000E-1;5.215214963E-1;-1.392779579E0;4.259287298E-2
6.713600000E-1;6.720225415E-1;-1.185288939E0;2.026937306E-1
6.812820000E-1;5.793457814E-1;3.172236187E-1;-3.152292430E-1
6.912030000E-1;3.859462366E-1;-6.617752960E-1;2.925818074E-1
7.011250000E-1;5.422545170E-1;-5.423117101E-2;1.043816287E0
7.110470000E-1;3.093656552E-1;1.903694445E-1;-4.764194369E-2
7.209690000E-1;-6.719480626E-1;1.677523194E0;1.216415568E0
7.308910000E-1;2.658634305E-1;-2.594209903E0;-1.172086657E0
7.408130000E-1;-1.150435477E-1;-3.285426222E-1;2.994967246E-1
7.507350000E-1;-1.113793261E-1;-1.004420087E-2;-5.614473081E-1
7.606570000E-1;-4.432034879E-1;1.298583639E-1;-5.434928477E-2
7.705790000E-1;-7.065493997E-1;-2.627095520E-1;-3.389367789E-1
7.805010000E-1;-6.614329416E-1;8.446452845E-1;-4.376465499E-2
7.904230000E-1;-1.353570215E-1;1.706211973E0;-4.166725874E-3
8.003440000E-1;4.163620272E-1;1.919725391E0;1.586139107E-1
8.102660000E-1;6.480633561E-1;1.824975062E0;1.043605202E-1
8.201880000E-1;6.101635315E-1;1.433731431E0;1.484087652E-1
8.301100000E-1;3.170668402E-1;1.329464466E0;1.601903200E-1
8.400320000E-1;1.356875537E-1;1.516940379E0;1.055732328E-1
8.499540000E-1;-2.229604541E-2;2.069574764E0;1.855941331E-1
8.598760000E-1;-2.129600160E-1;2.620714454E0;8.661772907E-2
8.697980000E-1;-2.008679923E-1;2.147919852E0;2.248260266E-1
8.797200000E-1;-2.235081738E-1;1.640121771E0;9.840396166E-2
8.896420000E-1;-3.982658449E-1;1.857931285E0;-4.806118906E-2
8.995630000E-1;-6.365542084E-1;2.012208316E0;-1.552874297E-1
9.094850000E-1;-7.769484144E-1;1.656033945E0;-2.455953366E-1
9.194070000E-1;-5.931161569E-1;1.294291417E0;-1.905619276E-1
9.293290000E-1;-2.500130542E-1;9.538570203E-1;-7.106238127E-2
9.392510000E-1;-5.833821874E-3;8.633353246E-1;8.107749224E-2
9.491730000E-1;1.312150824E-1;9.214729473E-1;2.364035136E-1
9.590950000E-1;2.868022002E-1;1.039596278E0;5.065478003E-1
9.690170000E-1;4.776698640E-1;8.307210906E-1;6.584491074E-2
9.789390000E-1;3.311353872E-1;9.165545619E-1;-1.570638138E-1
9.888610000E-1;1.540804547E-1;1.968684420E0;1.267594492E-1
9.987830000E-1;6.097998164E-2;1.974292777E0;5.283479744E-1
1.008704000E0;-1.396356851E-1;1.659953334E0;-2.139162916E-1
1.018626000E0;-1.443554022E-1;1.807461336E0;-1.536373454E-1
1.028548000E0;8.803631840E-2;1.973065154E0;-4.621346891E-2
1.038470000E0;3.777683573E-1;2.176168043E0;1.048101711E-1
1.048392000E0;2.601750810E-2;4.702342522E-1;2.323040307E-2
1.058314000E0;7.118702746E-2;3.567704212E-2;1.357033503E-1
1.068236000E0;7.667550730E-2;-8.480600584E-3;3.043124914E-2
1.078158000E0;1.733751061E-2;2.283909643E-2;1.656013334E-1
1.088080000E0;-1.576780958E-2;9.771408157E-2;2.235688752E-1
1.098002000E0;9.454723871E-3;1.627406197E-2;2.889226198E-1
1.107924000E0;-5.898278290E-2;-3.976145016E-2;3.185077769E-1
1.117845000E0;1.092388979E-1;-1.597016024E-1;3.997115690E-1
1.127767000E0;9.452670950E-2;-4.737456148E-2;3.914149547E-1
1.137689000E0;8.166912083E-2;-1.879650329E-1;2.582808709E-1
1.147611000E0;-2.695111429E-1;8.893329225E-1;3.094171107E-1
1.157533000E0;-5.201628958E-1;1.502057900E0;2.682696694E-1
1.167455000E0;-7.464876368E-1;2.385814187E-1;2.229724592E-1
1.177377000E0;-2.605206651E-1;-6.792008758E-1;1.752352059E-1
1.187299000E0;5.428579862E-1;-9.844324033E-1;-4.432774186E-3
1.197221000E0;7.050835028E-1;-6.503040822E-1;-4.285365880E-2
1.207143000E0;7.523654407E-2;5.279341377E-3;1.729314029E-1
1.217065000E0;-6.481620278E-1;7.141502684E-1;3.373381501E-1
1.226986000E0;-8.248810378E-1;1.334624488E0;5.517994022E-1
1.236908000E0;-3.023563420E-1;1.035664099E0;9.381530070E-1
1.246830000E0;1.040933244E0;-2.072966588E-1;2.777685297E0
1.256752000E0;1.711718296E0;-8.397833247E-1;1.884388620E0
1.266674000E0;1.991134512E0;-9.921069469E-1;1.640078502E0
1.276596000E0;1.536621669E0;-7.894834560E-1;2.374326235E0
1.286518000E0;1.108657962E0;-5.446155131E-1;2.611223254E0
1.296440000E0;7.847382212E-1;-3.631006169E-1;2.761264561E0
1.306361875E0;2.678857266E-1;2.326952459E-2;2.853448255E0
1.316283875E0;-2.553644259E-1;2.218034912E-1;2.625016251E0
1.326205875E0;-7.649466388E-1;-7.701381623E-1;2.240564160E0
1.336126875E0;-7.251897385E-1;-9.280624670E-1;1.680903177E0
1.346048875E0;-1.651080476E-1;8.055034747E-2;1.080357292E0
1.355970875E0;1.958967809E-1;4.343495243E-1;8.544834441E-1
1.365892875E0;4.247501504E-1;1.516794784E-1;7.418912137E-1
1.375814875E0;4.096510316E-1;-2.580369324E-1;4.955380780E-1
1.385736875E0;7.373346247E-2;-2.710688046E-1;3.054866123E-1
1.395658875E0;-4.924981105E-1;-1.757887910E-1;2.659483248E-1
1.405580875E0;-6.971844260E-1;-1.008578919E-1;2.576750994E-1
1.415502875E0;-5.586665916E-1;-2.909742616E-1;4.256182426E-1
1.425424875E0;-5.634303913E-1;-4.881798687E-1;6.143663639E-1
1.435346875E0;-7.211592527E-1;-4.040504953E-1;7.383226579E-1
1.445268875E0;-7.753984637E-1;-4.829958735E-1;8.520428163E-1
1.455189875E0;-8.114166543E-1;-3.894204694E-1;9.889770055E-1
1.465111875E0;-9.566786673E-1;-1.719193961E-1;1.247512230E0
1.475033875E0;-9.196013267E-1;-1.947499958E-1;1.474180714E0
1.484955875E0;-7.918665618E-1;-3.218349887E-1;1.630074500E0
1.494877875E0;-5.569912547E-1;-2.104253577E-1;1.622293026E0
1.504799875E0;-2.848260240E-1;-1.844655474E-1;1.490455270E0
1.514721875E0;-1.800375972E-2;-2.375386774E-1;1.366326483E0
1.524643875E0;1.874113381E-1;-1.585951265E-1;1.302807010E0
1.534565875E0;1.693653140E-1;-2.155038837E-1;1.312829137E0
1.544487875E0;-2.628113301E-2;-4.155209783E-1;1.443375244E0
1.554409875E0;-1.659427194E-1;-3.146247140E-1;1.620262873E0
1.564331875E0;-8.984451503E-2;-1.433781132E-1;1.802455680E0
1.574252875E0;-1.230817881E-1;-1.838417226E-1;2.025091925E0
1.584174875E0;-9.231212226E-2;-1.139126779E-1;2.192081972E0
1.594096875E0;-5.535710720E-2;-2.898610979E-2;2.270700125E0
1.604018875E0;-6.475023888E-3;1.561900936E-2;2.241189812E0
1.613940875E0;-8.841748377E-2;-8.689912632E-3;2.127671968E0
1.623862875E0;-2.096001328E-1;-3.040625229E-2;1.908546976E0
1.633784875E0;-1.786707009E-1;1.422096203E-1;1.646855425E0
1.643706875E0;-1.334341190E-1;2.054573440E-1;1.386421609E0
1.653628875E0;-9.400089864E-2;-7.125526629E-2;1.049695662E0
1.663550875E0;1.384160198E-2;-2.354723445E-1;5.786223346E-1
1.673472875E0;-5.605769500E-2;-2.881230131E-1;-2.559092402E-2
1.683393875E0;-1.458001030E-1;-3.480485681E-1;-5.990308714E-1
1.693315875E0;-1.145576258E-1;-3.592039593E-1;-1.140806977E0
1.703237875E0;-1.389468739E-1;-3.843708871E-1;-1.571333372E0
1.713159875E0;-7.302719191E-2;-1.959404158E-1;-1.918671430E0
1.723081875E0;-7.828325406E-3;-3.051951286E-1;-2.295868295E0
1.733003875E0;1.038947895E-2;-3.470481826E-1;-2.513748415E0
1.742925875E0;2.340888932E-2;-2.572970038E-1;-2.766158096E0
1.752847875E0;-2.008328542E-2;-2.304639850E-1;-2.992146549E0
1.762769875E0;-1.258183399E-1;-1.791520364E-1;-3.239062187E0
1.772691875E0;-3.901394577E-1;-1.557256785E-1;-3.316575217E0
1.782613875E0;-4.136374439E-1;-1.688383520E-3;-3.311267114E0
1.792535875E0;-6.971357480E-2;-6.827662155E-2;-3.317208470E0
1.802457875E0;1.666146559E-1;-3.127927083E-1;-3.331351715E0
1.812378875E0;1.286969241E-1;-3.925522381E-1;-3.274722016E0
1.822300875E0;-4.707914919E-2;-1.166716866E-1;-3.220028331E0
1.832222875E0;-1.472852227E-1;-2.494144455E-2;-3.179276746E0
1.842144875E0;-1.322051074E-1;-1.184660509E-1;-3.144250755E0
1.852066875E0;-9.882072195E-2;-6.058387846E-2;-3.116981680E0
1.861988875E0;-5.456680119E-2;6.768400624E-2;-3.060807479E0
1.871910875E0;-1.147910759E-1;7.679469913E-2;-2.943222896E0
1.881832875E0;-2.870569195E-1;7.564703688E-2;-2.830609615E0
1.891754875E0;-4.044942990E-1;1.516763355E-1;-2.680140291E0
1.901676875E0;-4.857619719E-1;2.406652567E-1;-2.460598394E0
1.911598875E0;-4.275620033E-1;2.659478863E-1;-2.138671165E0
1.921520875E0;-3.221619943E-1;1.279721618E-1;-1.840817508E0
1.931442875E0;-3.211691371E-1;6.759395912E-2;-1.695816500E0
1.941363875E0;-4.212727381E-1;1.652445070E-1;-1.607966178E0
1.951285875E0;-5.699617311E-1;3.042165971E-1;-1.476458790E0
1.961207875E0;-5.695430705E-1;4.220407699E-1;-1.302589493E0
1.971129875E0;-5.300593083E-1;3.025644663E-1;-1.134110160E0
1.981051875E0;-5.071817847E-1;7.675362244E-2;-1.022491491E0
1.990973875E0;-3.920252578E-1;1.295893554E-1;-1.038847908E0
2.000895875E0;-3.342878039E-1;1.649388438E-1;-1.097162189E0
2.010817875E0;-3.117046145E-1;1.487752394E-1;-1.152802539E0
2.020739875E0;-3.092172090E-1;1.981472281E-1;-1.256310536E0
2.030661875E0;-3.154531183E-1;2.099821387E-1;-1.316641522E0
2.040583875E0;-9.946881272E-2;1.172037832E-1;-1.432422239E0
2.050505875E0;1.867348518E-1;-5.608897761E-2;-1.619510921E0
2.060427875E0;3.952919510E-1;-1.992273550E-1;-1.846724950E0
2.070348875E0;2.130013485E-1;-1.335102059E-1;-2.085810581E0
