"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
2.809083334E-2;-3.828201890E-1;-2.589736283E-1;-6.515656412E-2;4.667590547E-1
3.801283333E-2;-3.648308814E-1;-2.442869693E-1;-8.159914613E-2;4.465827090E-1
4.793483333E-2;-3.375358582E-1;-2.212450355E-1;-9.360067546E-2;4.142956767E-1
5.785683333E-2;-3.030275702E-1;-1.887613982E-1;-9.633469582E-2;3.697795930E-1
6.777983333E-2;-2.699055672E-1;-1.446280330E-1;-8.888184279E-2;3.188514781E-1
7.770145833E-2;-2.436379939E-1;-9.601093084E-2;-6.960158795E-2;2.709648538E-1
8.762345833E-2;-2.326037288E-1;-5.610239506E-2;-4.558840021E-2;2.435780688E-1
9.754645833E-2;-2.216714919E-1;-2.931107208E-2;-2.276496962E-2;2.247568310E-1
1.074684583E-1;-1.955091357E-1;4.380044993E-3;-3.521235194E-3;1.955898925E-1
1.173904583E-1;-1.677035093E-1;3.387738019E-2;1.097387448E-2;1.714426139E-1
1.273124583E-1;-1.417392939E-1;5.170032009E-2;1.439710148E-2;1.515593187E-1
1.372354583E-1;-1.220176592E-1;4.901850224E-2;1.633400097E-2;1.325063105E-1
1.471574583E-1;-1.147991642E-1;3.465341032E-2;1.187773421E-2;1.205022304E-1
1.570794583E-1;-1.050989032E-1;5.761760287E-3;7.363545708E-3;1.055139760E-1
1.670024583E-1;-9.595441073E-2;-1.806580834E-2;-4.477400798E-3;9.774287436E-2
1.769244583E-1;-8.361791819E-2;-2.653693780E-2;-1.001958735E-2;8.829811686E-2
1.868464583E-1;-7.652644813E-2;-3.309683502E-2;-1.341245510E-2;8.444875193E-2
1.967694583E-1;-7.759476453E-2;-4.551751167E-2;-9.346667677E-3;9.044419024E-2
2.066914583E-1;-8.363294601E-2;-5.068431050E-2;-1.387012191E-3;9.780231486E-2
2.166134583E-1;-9.735045582E-2;-4.979902133E-2;8.090697229E-3;1.096472214E-1
2.265354584E-1;-1.094896793E-1;-4.262446240E-2;1.247798838E-2;1.181547074E-1
2.364584583E-1;-1.152579859E-1;-3.984019160E-2;1.880900748E-2;1.233913406E-1
2.463804583E-1;-1.271474063E-1;-4.345756397E-2;2.303597704E-2;1.363293037E-1
2.563024584E-1;-1.432430893E-1;-5.910589173E-2;2.476407960E-2;1.569246594E-1
2.662254583E-1;-1.559849828E-1;-7.427845150E-2;2.598300576E-2;1.747103884E-1
2.761474583E-1;-1.662224084E-1;-7.860684395E-2;2.268211544E-2;1.852657641E-1
2.860694584E-1;-1.802815050E-1;-7.560253143E-2;1.315652113E-2;1.959343202E-1
2.959914583E-1;-1.833667010E-1;-7.657122612E-2;1.067957282E-2;1.989988768E-1
3.059144583E-1;-1.808137894E-1;-6.285568327E-2;1.434115320E-2;1.919638821E-1
3.158364584E-1;-1.788051128E-1;-3.842438385E-2;1.690635458E-2;1.836668900E-1
3.257584583E-1;-1.681969464E-1;-1.994684152E-2;2.366652153E-2;1.710210323E-1
3.356814583E-1;-1.579575241E-1;-1.629470102E-2;2.527873032E-2;1.607952453E-1
3.456034584E-1;-1.507307738E-1;-3.121666051E-2;2.988227271E-2;1.568030494E-1
3.555254583E-1;-1.370599717E-1;-4.098271951E-2;3.101637028E-2;1.463797608E-1
3.654474583E-1;-1.344066709E-1;-4.399768636E-2;2.056026831E-2;1.429114209E-1
3.753704584E-1;-1.354687959E-1;-5.333727226E-2;3.627473954E-3;1.456359085E-1
3.852924583E-1;-1.419919431E-1;-4.578907415E-2;-6.421431433E-3;1.493304591E-1
3.952144583E-1;-1.468227953E-1;-3.931120038E-2;-9.708194993E-3;1.523041455E-1
4.051374584E-1;-1.486790180E-1;-2.504384704E-2;-1.059635915E-2;1.511453853E-1
4.150594583E-1;-1.424987614E-1;-2.036736161E-2;-1.416321006E-2;1.446420511E-1
4.249814583E-1;-1.274678856E-1;-2.228856646E-2;-1.678908616E-2;1.304864570E-1
4.349044584E-1;-8.312895149E-2;1.065343171E-1;2.262771130E-3;1.351484496E-1
4.448264583E-1;-6.058236584E-2;7.844675332E-2;3.375837952E-2;1.047079001E-1
4.547484583E-1;-7.180995494E-2;-8.222557604E-3;4.999147728E-2;8.788303524E-2
4.646704583E-1;-9.934304655E-2;-5.692831054E-2;4.361480474E-2;1.225239757E-1
4.745934583E-1;-9.997848421E-2;-6.070363894E-2;1.801992953E-2;1.183441885E-1
4.845154583E-1;-8.753300458E-2;-4.416860640E-2;1.484144665E-2;9.916229738E-2
4.944374583E-1;-8.055461943E-2;-2.230037935E-2;2.244711854E-2;8.654609617E-2
5.043604583E-1;-9.027249366E-2;-1.719749719E-2;3.162277117E-2;9.718475538E-2
5.142824583E-1;-1.143776476E-1;-2.995500714E-2;2.232502587E-2;1.203243762E-1
5.242044583E-1;-1.273179501E-1;-4.234776273E-2;1.987624913E-2;1.356401810E-1
5.341264583E-1;-1.400043368E-1;-4.953724891E-2;2.274685353E-2;1.502417143E-1
5.440494583E-1;-1.651770622E-1;-4.894203320E-2;2.344247140E-2;1.738629746E-1
5.539714583E-1;-1.869247705E-1;-4.645746574E-2;9.055220522E-3;1.928241763E-1
5.638934583E-1;-2.002163529E-1;-5.443949252E-2;4.224245436E-3;2.075285296E-1
5.738164583E-1;-1.925747395E-1;-6.497509032E-2;8.149189875E-3;2.034040362E-1
5.837384583E-1;-1.776178926E-1;-3.866332024E-2;6.458614953E-3;1.818919509E-1
5.936604583E-1;-1.790379286E-1;-6.530033797E-2;2.098229900E-2;1.917262916E-1
6.035824583E-1;-1.840374768E-1;-8.906239271E-2;3.610106558E-2;2.076178932E-1
6.135054583E-1;-1.824350655E-1;-1.195718348E-1;4.250483960E-2;2.222310469E-1
6.234274583E-1;-1.911545247E-1;-1.600774527E-1;4.673713818E-2;2.536714474E-1
6.333494583E-1;-2.044298500E-1;-1.761421710E-1;4.630144313E-2;2.737908903E-1
6.432724583E-1;-2.183059752E-1;-1.885234714E-1;4.279991984E-2;2.915997791E-1
6.531944583E-1;-2.475949079E-1;-2.270802110E-1;3.812556714E-2;3.381156896E-1
6.631164583E-1;-2.957733572E-1;-2.898751795E-1;2.832034044E-2;4.151042522E-1
6.730384583E-1;-3.577555418E-1;-3.389666378E-1;1.921373606E-2;4.932104793E-1
6.829614583E-1;-3.929377496E-1;-3.429547250E-1;1.667494327E-2;5.218199615E-1
6.928834583E-1;-4.021389484E-1;-3.447346985E-1;1.241111383E-2;5.298224061E-1
7.028054583E-1;-4.151471555E-1;-3.598521352E-1;9.171911515E-3;5.494768820E-1
7.127284583E-1;-3.922137618E-1;-3.054363132E-1;1.032015868E-2;4.972217634E-1
7.226504583E-1;-3.293173611E-1;-2.578730583E-1;1.006556023E-2;4.183894765E-1
7.325724583E-1;-2.610903680E-1;-2.085495293E-1;1.616560481E-2;3.345480731E-1
7.424944583E-1;-1.867360026E-1;-1.742834300E-1;1.745457388E-2;2.560267774E-1
7.524174583E-1;-1.088715792E-1;-1.182377785E-1;2.173423953E-2;1.621899201E-1
7.623394583E-1;-2.727472410E-2;-7.835774124E-2;2.891865186E-2;8.786429657E-2
7.722614583E-1;4.897157848E-2;-5.435146764E-2;4.267254472E-2;8.469500343E-2
7.821844583E-1;1.414335221E-1;-6.897372007E-2;4.982973263E-2;1.650570128E-1
7.921064583E-1;2.397765517E-1;-9.310843050E-2;6.505968422E-2;2.653200654E-1
8.020284583E-1;3.669118583E-1;-6.266184151E-2;7.887190580E-2;3.804886275E-1
8.119504583E-1;5.363681912E-1;1.574549824E-2;1.084048077E-1;5.474398228E-1
8.218734583E-1;7.462282181E-1;1.548748910E-1;1.394929588E-1;7.747909853E-1
8.317954583E-1;9.960392118E-1;3.477880359E-1;1.653562933E-1;1.067892004E0
8.417174583E-1;1.278804064E0;5.665574074E-1;1.986439377E-1;1.412723095E0
8.516404583E-1;1.584778666E0;7.088023424E-1;2.450699359E-1;1.753277917E0
8.615624583E-1;1.879997730E0;7.907073498E-1;2.734602988E-1;2.057763377E0
8.714844583E-1;2.123658419E0;8.694899082E-1;2.629117966E-1;2.309774966E0
8.814074583E-1;2.274230242E0;9.369357824E-1;2.225177586E-1;2.469713750E0
8.913294583E-1;2.354474545E0;9.152044058E-1;1.838831753E-1;2.532777627E0
9.012514583E-1;2.407272577E0;8.069189787E-1;1.704770774E-1;2.544630019E0
9.111734583E-1;2.424003363E0;6.865630150E-1;1.711818427E-1;2.525166192E0
9.210964583E-1;2.296967268E0;4.442236125E-1;1.732465923E-1;2.345934277E0
9.310184583E-1;2.082071066E0;1.718310416E-1;1.511313468E-1;2.094608917E0
9.409404583E-1;1.871371269E0;-4.296594299E-3;1.190794036E-1;1.875161004E0
9.508634583E-1;1.686478853E0;-7.033635676E-2;9.636841714E-2;1.690693644E0
9.607854583E-1;1.565774560E0;-8.924160898E-2;8.001927286E-2;1.570355731E0
9.707074583E-1;1.516797900E0;-1.278692484E-1;5.680117011E-2;1.523237601E0
9.806294583E-1;1.531188011E0;-2.030420303E-1;1.419059280E-2;1.544656649E0
9.905524583E-1;1.573256493E0;-2.125362605E-1;-3.312969580E-2;1.587893331E0
1.000474458E0;1.623366833E0;-2.063744962E-1;-6.708073616E-2;1.637806500E0
1.010396458E0;1.680138826E0;-2.034995556E-1;-6.650590897E-2;1.693724175E0
1.020319458E0;1.720104933E0;-1.679349095E-1;-5.461596698E-2;1.729146037E0
1.030241458E0;1.741915107E0;-9.616561234E-2;-5.619354174E-2;1.745472365E0
1.040163458E0;1.769070506E0;-3.285242617E-2;-7.649748027E-2;1.771028402E0
1.050085458E0;1.795666933E0;-3.133695573E-2;-1.108535677E-1;1.799358289E0
1.060008458E0;1.823023438E0;-2.887832746E-2;-1.280141771E-1;1.827740694E0
1.069930458E0;1.861601233E0;-3.118170239E-2;-1.212793738E-1;1.865808173E0
1.079851958E0;1.896083355E0;-6.848300248E-2;-1.122459322E-1;1.900637041E0
1.089774958E0;1.896277905E0;-1.347964853E-1;-9.220562875E-2;1.903297628E0
1.099696958E0;1.861475229E0;-1.793573052E-1;-7.488309592E-2;1.871594654E0
1.109618958E0;1.810855865E0;-2.264281213E-1;-5.653330311E-2;1.825832597E0
1.119540958E0;1.748976707E0;-2.549170256E-1;-2.538443916E-2;1.767638703E0
1.129463958E0;1.677313566E0;-2.149338126E-1;1.322153024E-3;1.691029004E0
1.139385958E0;1.618979454E0;-1.270998269E-1;1.649125293E-2;1.624044581E0
1.149307958E0;1.555499554E0;-7.944355905E-2;3.195519745E-2;1.557854703E0
1.159230958E0;1.521839857E0;-1.025944129E-1;2.917592414E-2;1.525573138E0
1.169152958E0;1.467623830E0;-9.415824711E-2;3.395290300E-2;1.471033066E0
1.179074958E0;1.406274438E0;-1.238940433E-1;4.132080451E-2;1.412326073E0
1.188997958E0;1.351173401E0;-9.328589588E-2;3.407226875E-2;1.354818341E0
1.198919958E0;1.317292571E0;-1.106062979E-1;1.770048589E-2;1.322046436E0
1.208841958E0;1.294996738E0;-1.361229569E-1;1.874689944E-2;1.302266278E0
1.218763958E0;1.292027354E0;-1.466624141E-1;3.886734694E-2;1.300905538E0
1.228686958E0;1.300319672E0;-1.298463345E-1;6.039727479E-2;1.308181620E0
1.238608958E0;1.310395956E0;-6.402763724E-2;7.626997679E-2;1.314174345E0
1.248530958E0;1.297009826E0;4.088224843E-2;7.645638287E-2;1.299904391E0
1.258452958E0;1.272224069E0;1.306771189E-1;6.392461061E-2;1.280514329E0
1.268375958E0;1.233577490E0;1.288338155E-1;4.894830287E-2;1.241252397E0
1.278297958E0;1.178658843E0;9.266835451E-2;4.380973428E-2;1.183107512E0
1.288219958E0;1.132036805E0;2.320918627E-2;4.816710576E-2;1.133298753E0
1.298142958E0;1.093069434E0;-3.185136244E-3;8.366837353E-2;1.096271558E0
1.308064958E0;1.079600930E0;-8.611086011E-2;1.241697297E-1;1.090124475E0
1.317986958E0;1.052082181E0;-2.031392008E-1;1.458404064E-1;1.081393487E0
1.327909958E0;9.975752831E-1;-2.364289463E-1;1.511256397E-1;1.036288594E0
1.337831958E0;9.567042589E-1;-1.958860606E-1;1.536250263E-1;9.885621055E-1
1.347753958E0;9.161241055E-1;-1.339423805E-1;1.425060481E-1;9.367667328E-1
1.357675958E0;8.726091385E-1;-5.952459946E-2;1.306613684E-1;8.843428519E-1
1.367598958E0;8.059043288E-1;-2.334651910E-2;1.089504287E-1;8.135705520E-1
1.377520958E0;7.200802565E-1;3.299717978E-2;7.038599253E-2;7.242641628E-1
1.387442958E0;6.452390552E-1;8.163115382E-2;3.772334009E-2;6.514753518E-1
1.397365958E0;5.730069280E-1;7.181154191E-2;1.671686210E-2;5.777311577E-1
1.407287958E0;5.047718287E-1;1.208511516E-1;-6.519428454E-3;5.190781278E-1
1.417209958E0;4.508462846E-1;1.697465330E-1;-1.406150032E-2;4.819481130E-1
1.427131958E0;4.119293690E-1;1.779051572E-1;-2.098584361E-2;4.491953424E-1
1.437054958E0;3.724549413E-1;2.023854703E-1;-1.668057777E-2;4.242178727E-1
1.446976958E0;3.431887031E-1;1.585325897E-1;-1.347426698E-2;3.782758567E-1
1.456898958E0;3.105393946E-1;1.236113682E-1;8.033688180E-3;3.343337047E-1
1.466821958E0;2.419269830E-1;5.537701771E-2;2.790427394E-2;2.497477281E-1
1.476743958E0;1.382578462E-1;6.697215885E-2;2.501581050E-2;1.556479774E-1
1.486665958E0;3.790601715E-2;9.164570272E-2;2.252202109E-2;1.017007492E-1
1.496587958E0;-2.885729633E-2;1.447496712E-1;3.517975658E-2;1.517327458E-1
1.506510958E0;-9.099821001E-2;1.142294854E-1;4.230911657E-2;1.520496988E-1
1.516432958E0;-2.019351125E-1;1.051563621E-1;3.036137484E-2;2.296899284E-1
1.526354958E0;-3.395003676E-1;1.424437165E-1;1.429970283E-2;3.684497164E-1
1.536277958E0;-4.822452664E-1;1.852361858E-1;2.607327327E-2;5.172550213E-1
1.546199958E0;-6.082643270E-1;1.944073439E-1;2.247681469E-2;6.389717632E-1
1.556121958E0;-7.347985506E-1;1.969687790E-1;2.124937717E-3;7.607431401E-1
1.566043958E0;-8.492490053E-1;2.038684040E-1;-2.186160907E-2;8.736498893E-1
1.575966958E0;-9.654722810E-1;1.781971306E-1;-2.731949091E-2;9.821595070E-1
1.585888958E0;-1.100705385E0;1.494957358E-1;-2.362864837E-2;1.111062389E0
1.595810958E0;-1.246709824E0;1.337543130E-1;-4.017113894E-2;1.254507601E0
1.605733958E0;-1.376861691E0;1.195128560E-1;-4.574763775E-2;1.382795822E0
1.615655958E0;-1.495552897E0;1.018038988E-1;-4.273240641E-2;1.499622806E0
1.625577958E0;-1.608899474E0;1.181715876E-1;-4.726429656E-2;1.613925635E0
1.635500958E0;-1.732476473E0;1.461195946E-1;-5.716193467E-2;1.739566944E0
1.645422958E0;-1.858335376E0;1.695862710E-1;-7.268819958E-2;1.867472475E0
1.655344958E0;-1.994282007E0;1.637504846E-1;-9.384594858E-2;2.003192953E0
1.665266958E0;-2.158829212E0;1.269534826E-1;-1.108674854E-1;2.165398890E0
1.675189958E0;-2.333111286E0;7.173284888E-2;-1.043483317E-1;2.336544981E0
1.685111958E0;-2.489996433E0;3.864232451E-2;-8.901982009E-2;2.491886834E0
1.695033958E0;-2.597948074E0;5.078181252E-2;-5.963796005E-2;2.599128638E0
1.704956958E0;-2.639553547E0;1.222439706E-1;-2.662071958E-2;2.642516826E0
1.714878958E0;-2.612548590E0;2.390962839E-1;-2.444118634E-2;2.623580481E0
1.724800958E0;-2.557222128E0;3.133082390E-1;-6.596503407E-2;2.577188090E0
1.734722958E0;-2.525994778E0;3.729747534E-1;-1.226341724E-1;2.556325277E0
1.744645958E0;-2.534489632E0;3.402468264E-1;-1.869204789E-1;2.564048529E0
1.754567958E0;-2.576052904E0;2.896957695E-1;-2.289491594E-1;2.602381586E0
1.764489958E0;-2.606143236E0;2.305107713E-1;-2.377947569E-1;2.627101850E0
1.774412958E0;-2.601066113E0;1.567747593E-1;-2.124995291E-1;2.614436707E0
1.784334958E0;-2.567577362E0;8.738198131E-2;-1.625234634E-1;2.574199487E0
1.794256958E0;-2.494565725E0;6.834406406E-3;-9.543790668E-2;2.496400060E0
1.804178958E0;-2.369956017E0;-1.284853518E-1;-5.232720450E-2;2.374013088E0
1.814101958E0;-2.201347828E0;-2.453970611E-1;-4.912368953E-2;2.215528179E0
1.824023958E0;-2.028180599E0;-2.337306738E-1;-5.026512593E-2;2.042222601E0
1.833945958E0;-1.873421550E0;-7.178702950E-2;-6.525313109E-2;1.875931676E0
1.843868958E0;-1.739434958E0;3.386430442E-2;-9.795215726E-2;1.742519839E0
1.853790958E0;-1.692649126E0;3.290849552E-2;-1.227706820E-1;1.697414703E0
1.863712958E0;-1.744900346E0;-9.085817263E-3;-1.131789833E-1;1.748590647E0
1.873634958E0;-1.853852987E0;-1.715008169E-1;-9.328649938E-2;1.864104557E0
1.883557958E0;-1.960924983E0;-3.107517660E-1;-8.978864551E-2;1.987424326E0
1.893479958E0;-2.063990831E0;-3.849692643E-1;-6.819973141E-2;2.100692907E0
1.903401958E0;-2.098289728E0;-4.492123425E-1;-9.005727619E-2;2.147724802E0
1.913324958E0;-2.083159685E0;-4.960301816E-1;-1.003085822E-1;2.143749525E0
1.923246958E0;-2.015613317E0;-4.829041064E-1;-9.283167869E-2;2.074731583E0
1.933168958E0;-1.923121691E0;-3.252457976E-1;-5.873335898E-2;1.951315319E0
1.943090958E0;-1.825680017E0;-1.594088674E-1;-3.128147870E-2;1.832893135E0
